,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
207,Incident on BronxwhitestoneBridge Both directions,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,Incident on BronxwhitestoneBridge Both directions
208,Incident on PulaskiSkyway SB at Tonnelle Circle,,,Tonnelle Circle,Tonnelle Circle,,Updated
209,Incident on TaconicStateParkway NB at Jackson Corners Road,,,TaconicStateParkway NB at Jackson Corners Road,TaconicStateParkway NB at Jackson Corners Road,,Cleared
210,Closure on QueensboroBridge EB,,,Closure on QueensboroBridge EB at Manhattan/Queens Bound,Closure on QueensboroBridge EB at Manhattan/Queens Bound,QueensboroBridge EB,
211,Construction on FranklinStreet from Church Street to Broadway,,FranklinStreet from Church Street to Broadway,Construction on FranklinStreet from Church Street to Broadway,Construction on FranklinStreet,,Cleared
212,Construction on NevinsStreet from Butler Street to Douglass Street,,NevinsStreet from Butler Street to Douglass Street,Construction on NevinsStreet from Butler Street to Douglass Street,Construction on NevinsStreet from Butler Street to Douglass Street,,Cleared
213,Construction on FranklinStreet,,FranklinStreet from Church Street to Broadway,Construction on FranklinStreet from Church Street to Broadway,Construction on FranklinStreet,,Updated
214,Construction on NevinsStreet from Butler Street to Douglass Street,,NevinsStreet from Butler Street to Douglass Street,Construction on NevinsStreet from Butler Street to Douglass Street,Construction on NevinsStreet from Butler Street to Douglass Street,,Updated
215,Incident on HobokennjTransitTerminalRoute at Hoboken/NJ Transit Terminal,,,Hoboken/NJ Transit Terminal,Hoboken/NJ Transit Terminal,,Updated
216,Incident on HollandTunnel WB at New Jersey Side - North Tube,,,HollandTunnel WB at New Jersey Side - North Tube,HollandTunnel WB at New Jersey Side - North Tube,,Cleared
217,Incident on HollandTunnel WB,,,HollandTunnel WB at New Jersey Side - North Tube,HollandTunnel WB at New Jersey Side - North Tube,,
218,Incident on TaconicStateParkway NB at Croton Reservoir Bridge,,,TaconicStateParkway NB at Croton Reservoir Bridge,TaconicStateParkway NB at Croton Reservoir Bridge,,Cleared
219,Incident on HobokennjTransitTerminalRoute at Hoboken/NJ Transit Terminal,,,Hoboken/NJ Transit Terminal,Hoboken/NJ Transit Terminal,,
220,Incident on HarlemRiverDrive NB at George Washington Bridge,,,George Washington Bridge,George Washington Bridge,,Cleared
221,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Cleared
222,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Updated
223,Special Event on MeadowlandsSportsComplex,,,MeadowlandsSportsComplex,MeadowlandsSportsComplex,,Cleared
224,Incident on TaconicStateParkway NB at Croton Reservoir Bridge,,TaconicStateParkway NB at Croton Reservoir Bridge,TaconicStateParkway NB at Croton Reservoir Bridge,TaconicStateParkway NB at Croton Reservoir Bridge,,
225,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Updated
226,Construction on TaconicStateParkway NB at Lakeview Avenue,,TaconicStateParkway NB at Lakeview Avenue,,TaconicStateParkway NB at Lakeview Avenue,,Cleared
227,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,Updated
228,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,Updated
229,Construction on TaconicStateParkway SB at Lakeview Avenue,,TaconicStateParkway SB at Lakeview Avenue,,TaconicStateParkway SB at Lakeview Avenue,,Cleared
230,Incident on HarlemRiverDrive NB at George Washington Bridge,,George Washington Bridge,George Washington Bridge,George Washington Bridge,,
231,Special Event on CentralParkNYC,,,CentralParkNYC,CentralParkNYC,,Cleared
232,Special Event on CentralParkNYC,,,CentralParkNYC,CentralParkNYC,,Updated
233,Incident on PulaskiSkyway SB at Tonnelle Circle,,,Tonnelle Circle,Tonnelle Circle,,
234,Incident on TaconicStateParkway NB at Jackson Corners Road,,TaconicStateParkway NB at Jackson Corners Road,TaconicStateParkway NB at Jackson Corners Road,TaconicStateParkway NB at Jackson Corners Road,,
235,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,
236,Special Event on VerrazanonarrowsBridge WB,,,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,Cleared
237,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
238,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
239,Closure on BeltSystemShoreParkway EB at Coney Island Avenue,,,Coney Island Avenue,Coney Island Avenue,BeltSystemShoreParkway EB at Coney Island Avenue,Cleared
240,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway; Bronx-Westchester County Line,,SawMillRiverParkway,City Yonkers,City Yonkers,,Cleared
241,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway,,SawMillRiverParkway,,SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway,,Updated
242,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Updated
243,,,,,BarclaysCenter,,
244,Construction on HollandTunnel EB at New Jersey Side - Toll Plaza,,HollandTunnel EB at New Jersey Side - Toll Plaza,,New Jersey Side - Toll Plaza,,Updated
245,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Cleared
246,Incident on WaltWhitmanBridge,,,WaltWhitmanBridge,WaltWhitmanBridge,,Cleared
247,Cleared: Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,,BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,,Cleared
248,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Updated
249,Incident on LincolnTunnel WB at New York Side - North Tube,,,LincolnTunnel WB at New York Side - North Tube,LincolnTunnel WB at New York Side - North Tube,,Cleared
250,Incident on LincolnTunnel WB at New York Side - North Tube,,,LincolnTunnel WB at New York Side - North Tube,LincolnTunnel WB at New York Side - North Tube,,
251,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
252,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
253,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,LincolnTunnel WB,LincolnTunnel WB,,Cleared
254,Special Event on CentralParkNYC,,,CentralParkNYC,CentralParkNYC,,
255,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,LincolnTunnel WB,LincolnTunnel WB,,
256,Closure on LincolnTunnel,,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Cleared
257,Incident on LincolnTunnel WB at Mid-Tunnel - North Tube,,,LincolnTunnel WB at Mid-Tunnel - North Tube,LincolnTunnel WB at Mid-Tunnel - North Tube,,Cleared
258,Cleared: Incident on WTCLine,,,WTCLine,WTCLine,,
259,Cleared: Incident on NWKLine Both directions,,,NWKLine Both directions,NWKLine Both directions,,Cleared
260,Cleared: Incident on ToLine,,,on ToLine,Incident on ToLine,,
261,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
262,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB at New York Side/Lower Level,,Cleared
263,Closure on BeltSystemShoreParkway EB at Coney Island Avenue,Coney Island Avenue,,Coney Island Avenue,Coney Island Avenue,BeltSystemShoreParkway EB at Coney Island Avenue,
264,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
265,,,,NWKLine,Incident on NWKLine,,
266,,,,ToLine,Incident on ToLine,,
267,,,,WTCLine,WTCLine,,
268,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
269,Construction,,BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,BlossomRoad EB from Landing Road North to Browncroft Boulevard,,
270,Construction on BronxRiverParkway,Construction on BronxRiverParkway NB from START ROUTE Bronx River Parkway; Story Avenue,BronxRiverParkway,Bronx River Parkway,BronxRiverParkway NB from START ROUTE Bronx River Parkway,,Updated
271,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,GeorgeWashingtonBridge WB,,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,Cleared
272,Construction on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
273,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
274,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
275,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
276,Construction on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
277,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
278,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,Lower Trans Manhattan Expressway,,Updated
279,,,,MeadowlandsSportsComplex,MeadowlandsSportsComplex,,
280,Closure on LincolnTunnel,LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Updated
281,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
282,Construction on QueensboroBridge,,QueensboroBridge,Construction on QueensboroBridge,Construction on QueensboroBridge,,Cleared
283,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
284,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
285,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Updated
286,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
287,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Updated
288,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
289,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
290,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
291,Special Event on BrooklynBatteryTunnel at Manhattan Bound,,,BrooklynBatteryTunnel at Manhattan Bound,BrooklynBatteryTunnel at Manhattan Bound,,Cleared
292,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
293,Closure on PulaskiSkyway,Closure on PulaskiSkyway,,Closure on PulaskiSkyway,Closure on PulaskiSkyway,PulaskiSkyway,Updated
294,Incident on CrossBayBridge Both directions,,,CrossBayBridge Both directions,CrossBayBridge Both directions,,Cleared
295,Incident on HenryHudsonBridge Both directions,,,HenryHudsonBridge,HenryHudsonBridge,,Cleared
296,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,Cleared
297,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Cleared
298,Cleared: Incident on BronxwhitestoneBridge Both directions,,,BronxwhitestoneBridge,BronxwhitestoneBridge,,Cleared
299,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,Cleared
300,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,Cleared
301,Closure on QueensboroBridge EB,,,QueensboroBridge EB at Manhattan/Queens Bound,Closure on QueensboroBridge EB at Manhattan/Queens Bound,QueensboroBridge EB,Cleared
302,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,,UnionTurnpike WB from Park Drive to Queens Blvd,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,,Cleared
303,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway; Bronx-Westchester County Line,,SawMillRiverParkway NB,Bronx-Westchester County Line,Bronx-Westchester County Line,,
304,Construction on VerrazanonarrowsBridge EB at Brooklyn Bound,,VerrazanonarrowsBridge EB at Brooklyn Bound,Construction on VerrazanonarrowsBridge EB at Brooklyn Bound,Brooklyn Bound,,Cleared
305,Closure on LincolnTunnel,LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Updated
306,Construction on NewJerseyTurnpikeHudsonCountyExtension EB from New Jersey Turnpike South to West of Newark Bay Bridge,,New Jersey Turnpike South to West of Newark Bay Bridge,New Jersey Turnpike South to West of Newark Bay Bridge,New Jersey Turnpike South to West of Newark Bay Bridge,,Cleared
307,Construction on GrandCentralParkway WB from Union Turnpike to Main Street,,GrandCentralParkway WB from Union Turnpike to Main Street,,GrandCentralParkway WB from Union Turnpike to Main Street,,Cleared
308,Construction on GrandCentralParkway WB at Jackie Robinson Parkway,,GrandCentralParkway WB at Jackie Robinson Parkway,,GrandCentralParkway WB at Jackie Robinson Parkway,,Cleared
309,Construction on JackieRobinsonParkway EB at W/B Grand Central Parkway,,JackieRobinsonParkway EB at W/B Grand Central Parkway,,JackieRobinsonParkway EB at W/B Grand Central Parkway,,Cleared
310,Construction on GrandCentralParkway EB at Jackie Robinson Parkway,,GrandCentralParkway EB at Jackie Robinson Parkway,,GrandCentralParkway EB at Jackie Robinson Parkway,,Cleared
311,Construction on JackieRobinsonParkway EB at W/B Grand Central Parkway,,JackieRobinsonParkway EB at W/B Grand Central Parkway,,JackieRobinsonParkway EB at W/B Grand Central Parkway,,Updated
312,Construction on GrandCentralParkway EB at Jackie Robinson Parkway,,GrandCentralParkway EB at Jackie Robinson Parkway,,Jackie Robinson Parkway,,Updated
313,Construction on NewJerseyTurnpikeHudsonCountyExtension WB,,NewJerseyTurnpikeHudsonCountyExtension WB from East of Newark Bay Bridge to East,East of Newark Bay Bridge,East of Newark Bay Bridge to East,,Updated
314,Construction on GrandCentralParkway WB from Union Turnpike to Main Street,,GrandCentralParkway WB from Union Turnpike to Main Street,,GrandCentralParkway WB from Union Turnpike to Main Street,,Updated
315,Construction on GrandCentralParkway WB at Jackie Robinson Parkway,,GrandCentralParkway WB at Jackie Robinson Parkway,,Jackie Robinson Parkway,,Updated
316,Construction on NewJerseyTurnpikeHudsonCountyExtension EB from New Jersey Turnpike South to West,,New Jersey Turnpike South to West,New Jersey Turnpike South to West,New Jersey Turnpike South to West,,Updated
